task_id,task_type,task_cpu_required,task_data_size_mb,deadline,node_id,node_queue_at_dispatch,node_load_at_dispatch,node_cpu_speed,creation_time,completion_time,latency,waiting_time,energy_consumed,predicted_latency,predicted_energy
9-12,GPS_TRACKING,71.61439931961601,0.2,200,FogNode_2,0,0.0,681.967788340379,17.189320956106926,144.19590964149964,127.00658868539271,0.0,8.790239577415244,,
9-5,SMART_HOME_CONTROL,109.42230828567722,0.1,150,FogNode_2,0,0.0,681.967788340379,6.673616644362443,181.7774674499636,175.10385080560116,0.0,13.430934478025154,,
0-48,SMART_HOME_CONTROL,147.46288833983903,0.1,150,CloudNode,0,0.0,12000.0,105.90327065987162,182.12019287035218,76.21692221048056,0.0,6.14428701415996,,
1-15,SENSOR_DATA_LOGGING,97.6025821150387,0.1,10000,FogNode_2,0,0.16666666666666666,681.967788340379,21.58683311960905,184.51813401913228,162.93130089952322,0.0,11.980133720545389,,
8-41,GPS_TRACKING,197.23526198086685,0.2,200,CloudNode,0,0.0,12000.0,95.4363586805081,189.42233802213798,93.98597934162987,0.0,8.218135915869453,,
2-41,SENSOR_DATA_LOGGING,333.5585127263383,0.1,10000,CloudNode,0,0.0,12000.0,91.98246621295534,192.3872930634129,100.40482685045755,0.0,13.898271363597429,,
7-37,SMART_HOME_CONTROL,447.4110485767541,0.1,150,CloudNode,0,0.0,12000.0,86.36384197317902,206.41164463135925,120.04780265818023,0.0,18.64212702403142,,
3-45,SENSOR_DATA_LOGGING,542.5492453715967,0.1,10000,CloudNode,0,0.0,12000.0,65.93001042139228,207.67444055614982,141.74443013475752,0.0,22.606218557149866,,
1-46,GPS_TRACKING,449.5053354491795,0.2,200,CloudNode,0,0.0,12000.0,83.89790634689116,209.85424639163875,125.95634004474759,0.0,18.729388977049148,,
8-42,GPS_TRACKING,429.2605934245184,0.2,200,CloudNode,0,0.0,12000.0,96.09803517664449,210.10149779734303,114.00346262069854,0.0,17.88585805935493,,
4-34,SENSOR_DATA_LOGGING,625.9122244756988,0.1,10000,CloudNode,0,0.0,12000.0,83.46828993898804,213.4088063419755,129.94051640298744,0.0,26.079676019820788,,
3-48,SENSOR_DATA_LOGGING,497.7078974528314,0.1,10000,CloudNode,0,0.0,12000.0,72.80985383591126,214.41888703664273,141.60903320073146,0.0,20.737829060534644,,
4-39,SENSOR_DATA_LOGGING,294.29166028501254,0.1,10000,CloudNode,0,0.0,12000.0,89.63638764175492,216.91159808716395,127.27521044540903,15.122921494651365,12.262152511875524,,
4-32,SMART_HOME_CONTROL,635.633394404195,0.1,150,CloudNode,0,0.0,12000.0,71.53653296455536,218.08366238771396,146.5471294231586,0.0,26.484724766841456,,
4-3,SENSOR_DATA_LOGGING,131.8710950918427,0.1,10000,FogNode_2,0,0.0,681.967788340379,11.451099131622865,221.48586778076236,210.0347686491395,0.0,16.186388913491765,,
1-38,SENSOR_DATA_LOGGING,657.8593211992754,0.1,10000,CloudNode,0,0.0,12000.0,76.74268928917724,225.84608690675452,149.1033976175773,0.0,27.41080504996981,,
0-32,SENSOR_DATA_LOGGING,659.553959497423,0.1,10000,CloudNode,0,0.0,12000.0,66.42157464795397,226.1575955797292,159.73602093177522,0.0,27.48141497905929,,
2-33,SENSOR_DATA_LOGGING,833.4495931508068,0.1,10000,CloudNode,0,0.0,12000.0,87.31991325971973,227.39075356405283,140.0708403043331,0.0,34.72706638128361,,
1-40,SMART_HOME_CONTROL,852.7349047564182,0.1,150,CloudNode,0,0.0,12000.0,78.2268376166365,227.49558252017664,149.26874490354015,0.0,35.53062103151743,,
2-43,GPS_TRACKING,237.52003464108157,0.2,200,CloudNode,0,0.0,12000.0,99.53683839222492,229.6475826117289,130.11074421950397,30.12816418696798,9.896668110045066,,
8-30,SMART_HOME_CONTROL,896.9594946993769,0.1,150,CloudNode,0,0.0,12000.0,63.58727166241001,231.27441396643883,167.6871423040288,0.0,37.373312279140706,,
0-51,SENSOR_DATA_LOGGING,207.0081656820294,0.1,10000,CloudNode,0,0.0,12000.0,109.66613747244877,231.66956751014519,122.00343003769642,31.222893481698293,8.625340236751224,,
3-51,SENSOR_DATA_LOGGING,907.2638132864643,0.1,10000,CloudNode,0,0.0,12000.0,78.04639770221159,234.82111105405554,156.77471335184396,0.0,37.802658886936015,,
9-68,SENSOR_DATA_LOGGING,765.3354538085388,0.1,10000,CloudNode,0,0.0,12000.0,101.23522633358203,235.44024357495553,134.2050172413735,0.0,31.88897724202245,,
4-37,GPS_TRACKING,757.4880854403667,0.2,200,CloudNode,0,0.0,12000.0,87.39314287234315,237.34417741026385,149.9510345379207,0.0,31.56200356001528,,
2-7,SENSOR_DATA_LOGGING,144.73890402645978,0.1,10000,FogNode_2,0,0.0,681.967788340379,13.002742810995871,239.22121741821715,226.21847460722128,0.0,17.765835567325613,,
1-48,SENSOR_DATA_LOGGING,768.8596075581265,0.1,10000,CloudNode,0,0.0,12000.0,90.17187846281135,239.32766705177227,149.15578858896092,0.0,32.0358169815886,,
6-50,SMART_HOME_CONTROL,118.02847128470869,0.1,150,CloudNode,0,0.0,12000.0,116.82533840575609,239.48328855212128,122.6579501463652,41.36521206337184,4.917852970196195,,
7-40,GPS_TRACKING,689.3531040929527,0.2,200,CloudNode,0,0.0,12000.0,89.61288143124477,239.56628487809826,149.95340344685349,6.7970571051226045,28.72304600387303,,
5-47,SENSOR_DATA_LOGGING,942.434830978937,0.1,10000,CloudNode,0,0.0,12000.0,83.98845952914249,239.6179252731643,155.62946574402181,0.0,39.26811795745571,,
3-53,GPS_TRACKING,791.6467217934376,0.2,200,CloudNode,0,0.0,12000.0,87.78765445267224,240.51678392643603,152.7291294737638,0.0,32.98528007472656,,
9-59,SENSOR_DATA_LOGGING,948.3060197305255,0.1,10000,CloudNode,0,0.0,12000.0,81.75710220849922,247.6081484963894,165.85104628789017,0.0,39.51275082210523,,
5-66,SENSOR_DATA_LOGGING,243.7525568490792,0.1,10000,CloudNode,0,0.0,12000.0,111.2029945033367,247.70346663480944,136.50047213147275,41.43694171070649,10.1563565353783,,
8-32,SMART_HOME_CONTROL,988.4868950746225,0.1,150,CloudNode,0,0.0,12000.0,71.96866629487931,248.11765371892466,176.14898742404534,0.0,41.186953961442605,,
9-75,SENSOR_DATA_LOGGING,115.5006360139904,0.1,10000,CloudNode,0,0.0,12000.0,118.78008559096085,249.19133787926413,130.41125228830327,47.046166590857354,4.812526500582933,,
9-64,SENSOR_DATA_LOGGING,970.1962296833872,0.1,10000,CloudNode,0,0.0,12000.0,94.10701501074088,251.81226533511494,157.70525032437405,0.0,40.42484290347446,,
7-59,SENSOR_DATA_LOGGING,68.36774504805959,0.1,10000,CloudNode,0,0.0,12000.0,126.33184651869891,253.3054605837277,126.97361406502878,52.37196929653106,2.8486560436691497,,
6-38,GPS_TRACKING,792.9040515146634,0.2,200,CloudNode,0,0.0,12000.0,90.25517005593734,255.49767564835992,165.24250559242256,13.998328661484095,33.037668813110976,,
9-7,SMART_HOME_CONTROL,274.86991844098975,0.1,150,FogNode_0,0,0.0,1189.2931772946604,8.470810893835734,256.21273776608825,247.74192687225252,0.0,17.50211836101134,,
7-30,GPS_TRACKING,136.36293160318183,0.2,200,FogNode_5,0,0.3333333333333333,782.8923712617282,64.55390224749021,262.81278347628654,198.25888122879633,0.0,20.268955752925034,,
4-40,SENSOR_DATA_LOGGING,391.280045765392,0.1,10000,CloudNode,0,0.0,12000.0,90.1725817131204,264.2762379905945,174.1036562774741,42.32685281187625,16.303335240224666,,
6-9,SMART_HOME_CONTROL,86.99916887724285,0.1,150,FogNode_2,0,0.3333333333333333,681.967788340379,24.136472090634204,271.7666987090625,247.63022661842828,100.08756105504288,10.678628107371425,,
7-2,SENSOR_DATA_LOGGING,171.49452164707134,0.1,10000,FogNode_2,0,0.0,681.967788340379,9.141006119848166,274.65292090364574,265.5119147837976,0.0,21.049927749363473,,
0-57,SMART_HOME_CONTROL,800.1892943701188,0.1,150,CloudNode,0,0.0,12000.0,116.39397373511598,276.7839389948529,160.38996525973693,28.82887180992634,33.341220598754944,,
7-48,SMART_HOME_CONTROL,719.6820473200364,0.1,150,CloudNode,0,0.0,12000.0,98.72709218424941,276.8851020305003,178.1580098462509,33.46474476315609,29.986751971668184,,
3-0,SMART_HOME_CONTROL,410.4513382884708,0.1,150,FogNode_1,0,0.0,1597.9384595498836,2.0311163975688733,277.3742411076347,275.3431247100658,0.0,33.90639484861097,,
7-46,SMART_HOME_CONTROL,525.3070383011902,0.1,150,CloudNode,0,0.0,12000.0,96.92883847961919,279.21583010005475,182.28699162043557,45.609248546011,21.887793262549593,,
0-9,SENSOR_DATA_LOGGING,194.7402719558785,0.1,10000,FogNode_6,0,0.0,816.2509881302752,25.282796899296013,279.4163620746154,254.13356517531938,0.0,26.24033294345198,,
5-49,SENSOR_DATA_LOGGING,737.3880838812404,0.1,10000,CloudNode,0,0.0,12000.0,85.5019805120631,279.53266937781734,194.03068886575426,34.1610644209689,30.724503495051685,,
7-54,SMART_HOME_CONTROL,185.23955304498412,0.1,150,CloudNode,0,0.0,12000.0,109.88695845407494,279.7128674110098,169.82590895693488,67.64744861874101,7.718314710207672,,
2-47,SMART_HOME_CONTROL,905.231325721185,0.1,150,CloudNode,0,0.0,12000.0,107.76135025712716,283.1103843662486,175.34903410912142,28.857140197375827,37.71797190504938,,
8-45,GPS_TRACKING,922.7643333457079,0.2,200,CloudNode,0,0.0,12000.0,98.97004359835259,283.30867241016824,184.33862881181565,27.96931568066816,38.448513889404495,,
5-61,SMART_HOME_CONTROL,365.9015950049588,0.1,150,CloudNode,0,0.0,12000.0,101.75774189494852,283.79726016747424,182.0395182725257,56.905803433292164,15.245899791873283,,
7-36,GPS_TRACKING,863.452068872654,0.2,200,CloudNode,0,0.0,12000.0,84.51698818830653,285.36314541469665,200.84615722639012,30.472299458737268,35.977169536360584,,
5-42,SMART_HOME_CONTROL,607.9392464080006,0.1,150,CloudNode,0,0.0,12000.0,68.76954712709485,285.48271492138895,216.7131677942941,45.097814118394865,25.33080193366669,,
0-1,SMART_HOME_CONTROL,196.86263107835396,0.1,150,FogNode_5,0,0.0,782.8923712617282,16.62068111113868,289.211163039914,272.5904819287754,0.0,29.2616175951915,,
8-48,GPS_TRACKING,701.1288611282951,0.2,200,CloudNode,0,0.0,12000.0,99.25845201205759,289.70181906046344,190.44336704840583,41.999386142461844,29.213702547012293,,
1-47,SMART_HOME_CONTROL,748.5138584451853,0.1,150,CloudNode,0,0.0,12000.0,89.630711997298,289.87173739060876,200.24102539331076,41.18093051055013,31.18807743521605,,
2-54,SENSOR_DATA_LOGGING,163.0601841109829,0.1,10000,CloudNode,0,0.0,12000.0,124.92772629286212,290.4734507064156,165.54572441355344,79.60828512029954,6.794174337957621,,
1-54,SMART_HOME_CONTROL,637.7212053087613,0.1,150,CloudNode,0,0.0,12000.0,98.01615416862565,290.48761118599396,192.47145701736832,47.451589999264854,26.571716887865055,,
8-38,SMART_HOME_CONTROL,511.93516709648753,0.1,150,CloudNode,0,0.0,12000.0,90.18998040114377,294.4735292598222,204.28354885867844,55.94829394296744,21.330631962353646,,
7-5,GPS_TRACKING,436.8513608555749,0.2,200,FogNode_7,0,0.0,1727.0272900361456,18.08568104466366,294.74321975810324,276.6575387134396,0.0,29.94139040441315,,
6-17,SENSOR_DATA_LOGGING,183.88488519642698,0.1,10000,FogNode_8,0,0.0,770.9711269175084,37.20812333018634,296.0701001688102,258.86197683862383,0.0,17.47911669281949,,
2-57,SENSOR_DATA_LOGGING,567.8105388281873,0.1,10000,CloudNode,0,0.0,12000.0,126.82563626156723,296.50888278161307,169.68324652004583,53.427614138246895,23.65877245117447,,
2-50,SMART_HOME_CONTROL,101.60716894116626,0.1,150,CloudNode,0,0.0,12000.0,110.58973053535587,298.95487526442446,188.3651447290686,86.53530471984959,4.233632039215261,,
5-67,GPS_TRACKING,213.7619769281445,0.2,200,CloudNode,0,0.0,12000.0,112.81673187176838,301.1221704875136,188.3054386157452,84.82496827377767,8.906749038672686,,
7-50,GPS_TRACKING,149.2354881884719,0.2,200,CloudNode,0,0.0,12000.0,104.69648579082487,302.3080280729814,197.61154228215656,88.60552036628062,6.218145341186329,,
2-51,SENSOR_DATA_LOGGING,228.17587121729576,0.1,10000,CloudNode,0,0.0,12000.0,114.25848721224908,302.81191610224886,188.5534288899998,84.90808761899916,9.507327967387324,,
1-55,SMART_HOME_CONTROL,932.1203618726774,0.1,150,CloudNode,0,0.0,12000.0,99.69528237697558,303.5227837294776,203.82750135250205,41.175680456328195,38.83834841136156,,
5-64,SENSOR_DATA_LOGGING,188.5284150247121,0.1,10000,CloudNode,0,0.0,12000.0,107.33118450110246,305.41252031252276,198.0813358114203,88.44799952921838,7.855350626029671,,
0-50,GPS_TRACKING,955.5020855871877,0.2,200,CloudNode,0,0.0,12000.0,109.24857283324883,305.7827693786615,196.53419654541267,40.947817785989145,39.812586899466154,,
6-41,SENSOR_DATA_LOGGING,229.303946101899,0.1,10000,CloudNode,0,0.0,12000.0,103.45886480801265,309.58211288157383,206.12324807356117,88.08807137901704,9.554331087579124,,
